,Month,Hour,Drunk,Urban,N
198,May,6.0,14,47,83
199,May,7.0,15,34,96
200,May,8.0,5,44,82
201,May,9.0,7,33,63
202,May,10.0,10,39,86
203,May,11.0,7,57,116
204,May,12.0,17,59,129
205,May,13.0,13,54,128
206,May,14.0,31,73,154
207,May,15.0,24,78,164
208,May,16.0,24,68,131
209,May,17.0,20,71,140
210,May,18.0,44,78,145
211,May,19.0,39,61,137
212,May,20.0,51,96,157
213,May,21.0,57,122,186
214,May,22.0,47,88,152
215,May,23.0,73,81,153
216,November,0.0,56,74,113
217,November,1.0,55,61,102
218,November,2.0,40,46,70
219,November,3.0,32,37,68
220,November,4.0,19,33,60
221,November,5.0,17,64,106
222,November,6.0,12,60,100
223,November,7.0,17,52,107
224,November,8.0,3,43,83
225,November,9.0,7,43,69
226,November,10.0,5,45,87
227,November,11.0,7,56,95
228,November,12.0,11,61,104
229,November,13.0,15,57,105
230,November,14.0,16,56,122
231,November,15.0,16,48,128
232,November,16.0,25,68,164
233,November,17.0,38,119,193
234,November,18.0,45,155,240
235,November,19.0,54,108,175
236,November,20.0,36,88,150
237,November,21.0,39,87,127
238,November,22.0,40,60,101
239,November,23.0,44,77,117
240,October,0.0,54,63,104
241,October,1.0,60,62,102
242,October,2.0,52,64,103
243,October,3.0,36,42,72
244,October,4.0,17,39,68
245,October,5.0,15,53,90
246,October,6.0,12,100,155
247,October,7.0,12,68,135
248,October,8.0,9,39,85
249,October,9.0,9,39,96
250,October,10.0,7,48,96
251,October,11.0,8,50,108
252,October,12.0,10,48,95
253,October,13.0,12,48,101
254,October,14.0,15,56,123
255,October,15.0,25,77,163
256,October,16.0,26,81,144
257,October,17.0,18,67,141
258,October,18.0,39,73,150
259,October,19.0,52,121,207
260,October,20.0,41,105,175
261,October,21.0,47,107,163
262,October,22.0,54,87,134
263,October,23.0,45,70,111
264,September,0.0,50,56,101
265,September,1.0,45,60,99
266,September,2.0,60,72,113
267,September,3.0,30,48,71
268,September,4.0,21,38,74
269,September,5.0,25,50,103
270,September,6.0,12,64,113
271,September,7.0,20,53,116
272,September,8.0,11,39,87
273,September,9.0,3,37,76
274,September,10.0,8,42,93
275,September,11.0,14,57,116
276,September,12.0,12,56,127
277,September,13.0,19,58,141
278,September,14.0,23,83,165
279,September,15.0,32,61,179
280,September,16.0,30,61,158
281,September,17.0,40,53,136
282,September,18.0,45,59,138
283,September,19.0,57,106,177
284,September,20.0,68,127,209
285,September,21.0,65,104,174
286,September,22.0,57,92,149
287,September,23.0,57,89,132
